run_id,variant,nDCG@10,MRR@10,MAP@10,salience_nDCG,timestamp
demo,bge+ctu+cdge,0.716,0.619,0.619,0.0,1752655900
demo,bge,1.0,1.0,1.0,0.0,1752679089
demo,bge+ctu,1.0,1.0,1.0,0.0,1752679099
demo,bge+cdge,0.8231,0.7619,0.7619,0.0,1752679108
demo,bge+ctu+cdge,0.8231,0.7619,0.7619,0.0,1752679117
demo,bge,0.0,0.0,0.0,0.0,1752679192
demo,bge,0.9646,1.0,0.9556,0.0,1752679806
demo,bge+ctu,0.9646,1.0,0.9556,0.0,1752679814
demo,bge+cdge,0.9302,1.0,0.9664,0.0,1752679822
demo,bge+ctu+cdge,0.9302,1.0,0.9664,0.0,1752679830
demo,bge,0.9646,1.0,0.9556,0.0,1752680156
demo,bge+ctu,0.9646,1.0,0.9556,0.0,1752680163
demo,bge+cdge,0.9205,1.0,0.9354,0.0,1752680172
demo,bge+ctu+cdge,0.9205,1.0,0.9354,0.0,1752680179
bigrun,bge+ctu+cdge,0.9453,1.0,0.9826,0.0,1752685113
demo,bge,0.9879,1.0,1.0,0.0,1752685145
demo,bge+ctu,0.9879,1.0,1.0,0.0,1752685154
demo,bge+cdge,0.9453,1.0,0.9826,0.0,1752685162
demo,bge+ctu+cdge,0.9453,1.0,0.9826,0.0,1752685170
bigrun,bge,0.9879,1.0,1.0,0.0,1752685371
bigrun,bge+ctu,0.9879,1.0,1.0,0.0,1752685379
bigrun,bge+cdge,0.9453,1.0,0.9826,0.0,1752685387
bigrun,bge+ctu+cdge,0.9453,1.0,0.9826,0.0,1752685395
bigrun,bge,0.9879,1.0,1.0,0.0,1752720413
bigrun,bge+ctu,0.9879,1.0,1.0,0.0,1752720423
bigrun,bge+cdge,0.9453,1.0,0.9826,0.0,1752720431
bigrun,bge+ctu+cdge,0.9453,1.0,0.9826,0.0,1752720439
big6,bge+ctu+cdge,0.0838,0.0633,0.0611,0.0,1752729939
sanity,bge,0.7466,0.75,0.6882,0.0,1752730271
